Date,Parking
10/6/2016,107
10/6/2016,107
10/6/2016,108
10/6/2016,111
10/6/2016,132
10/6/2016,183
10/6/2016,208
10/6/2016,217
10/6/2016,219
10/6/2016,227
10/6/2016,236
10/6/2016,238
10/6/2016,232
10/6/2016,212
10/6/2016,191
10/6/2016,210
10/6/2016,209
10/6/2016,205
10/6/2016,121
10/6/2016,114
10/6/2016,111
10/7/2016,110
10/7/2016,111
10/7/2016,111
10/7/2016,111
10/7/2016,111
10/7/2016,112
10/7/2016,115
10/7/2016,144
10/7/2016,190
10/7/2016,207
10/7/2016,220
10/7/2016,227
10/7/2016,222
10/7/2016,224
10/7/2016,217
10/7/2016,210
10/7/2016,194
10/7/2016,167
10/7/2016,165
10/7/2016,162
10/7/2016,146
10/7/2016,112
10/7/2016,107
10/7/2016,106
10/8/2016,107
10/8/2016,107
10/8/2016,106
10/8/2016,107
10/8/2016,107
10/8/2016,107
10/8/2016,104
10/8/2016,110
10/8/2016,142
10/8/2016,178
10/8/2016,181
10/8/2016,182
10/8/2016,158
10/8/2016,161
10/8/2016,147
10/8/2016,140
10/8/2016,117
10/8/2016,107
10/8/2016,104
10/8/2016,95
10/8/2016,90
10/8/2016,88
10/8/2016,91
10/8/2016,92
10/9/2016,92
10/9/2016,92
10/9/2016,92
10/9/2016,92
10/9/2016,92
10/9/2016,93
10/9/2016,91
10/9/2016,88
10/9/2016,90
10/9/2016,91
10/9/2016,90
10/9/2016,88
10/9/2016,84
10/9/2016,85
10/9/2016,90
10/9/2016,92
10/9/2016,86
10/9/2016,85
10/9/2016,86
10/9/2016,88
10/9/2016,90
10/9/2016,91
10/9/2016,93
10/9/2016,94
10/10/2016,94
10/10/2016,94
10/10/2016,94
10/10/2016,94
10/10/2016,94
10/10/2016,95
10/10/2016,96
10/10/2016,95
10/10/2016,95
10/10/2016,99
10/10/2016,101
10/10/2016,98
10/10/2016,103
10/10/2016,108
10/10/2016,108
10/10/2016,107
10/10/2016,104
10/10/2016,103
10/10/2016,101
10/10/2016,102
10/10/2016,103
10/10/2016,105
10/10/2016,107
10/10/2016,108
10/11/2016,109
10/11/2016,109
10/11/2016,108
10/11/2016,108
10/11/2016,108
10/11/2016,109
10/11/2016,114
10/11/2016,130
10/11/2016,178
10/11/2016,195
10/11/2016,210
10/11/2016,220
10/11/2016,222
10/11/2016,227
10/11/2016,230
10/11/2016,224
10/11/2016,208
10/11/2016,183
10/11/2016,195
10/11/2016,194
10/11/2016,190
10/11/2016,117
10/11/2016,107
10/11/2016,107
10/12/2016,105
10/12/2016,104
10/12/2016,104
10/12/2016,104
10/12/2016,104
10/12/2016,105
10/12/2016,111
10/12/2016,132
10/12/2016,183
10/12/2016,206
10/12/2016,212
10/12/2016,227
10/12/2016,227
10/12/2016,228
10/12/2016,224
10/12/2016,216
10/12/2016,206
10/12/2016,177
10/12/2016,205
10/12/2016,202
10/12/2016,198
10/12/2016,121
10/12/2016,110
10/12/2016,108
10/13/2016,108
10/13/2016,108
10/13/2016,108
10/13/2016,108
10/13/2016,108
10/13/2016,110
10/13/2016,115
10/13/2016,135
10/13/2016,184
10/13/2016,206
10/13/2016,213
10/13/2016,225
10/13/2016,226
10/13/2016,231
10/13/2016,230
10/13/2016,227
10/13/2016,206
10/13/2016,187
10/13/2016,213
10/13/2016,216
10/13/2016,208
10/13/2016,114
10/13/2016,113
10/13/2016,111
10/14/2016,110
10/14/2016,109
10/14/2016,109
10/14/2016,109
10/14/2016,109
10/14/2016,110
10/14/2016,113
10/14/2016,133
10/14/2016,177
10/14/2016,201
10/14/2016,206
10/14/2016,203
10/14/2016,206
10/14/2016,209
10/14/2016,211
10/14/2016,207
10/14/2016,185
10/14/2016,147
10/14/2016,140
10/14/2016,135
10/14/2016,135
10/14/2016,98
10/14/2016,95
10/14/2016,93
10/15/2016,94
10/15/2016,95
10/15/2016,97
10/15/2016,97
10/15/2016,97
10/15/2016,98
10/15/2016,98
10/15/2016,97
10/15/2016,115
10/15/2016,148
10/15/2016,152
10/15/2016,155
10/15/2016,146
10/15/2016,161
10/15/2016,156
10/15/2016,148
10/15/2016,114
10/15/2016,96
10/15/2016,87
10/15/2016,86
10/15/2016,84
10/15/2016,87
10/15/2016,88
10/15/2016,88
10/16/2016,88
10/16/2016,88
10/16/2016,87
10/16/2016,87
10/16/2016,87
10/16/2016,87
10/16/2016,86
10/16/2016,90
10/16/2016,95
10/16/2016,100
10/16/2016,98
10/16/2016,96
10/16/2016,104
10/16/2016,107
10/16/2016,110
10/16/2016,111
10/16/2016,116
10/16/2016,98
10/16/2016,94
10/16/2016,93
10/16/2016,96
10/16/2016,96
10/16/2016,98
10/16/2016,98
10/17/2016,99
10/17/2016,98
10/17/2016,98
10/17/2016,98
10/17/2016,99
10/17/2016,101
10/17/2016,105
10/17/2016,125
10/17/2016,168
10/17/2016,185
10/17/2016,195
10/17/2016,206
10/17/2016,214
10/17/2016,214
10/17/2016,216
10/17/2016,209
10/17/2016,197
10/17/2016,167
10/17/2016,181
10/17/2016,177
10/17/2016,168
10/17/2016,109
10/17/2016,107
10/17/2016,105
10/18/2016,105
10/18/2016,104
10/18/2016,104
10/18/2016,104
10/18/2016,103
10/18/2016,104
10/18/2016,109
10/18/2016,128
10/18/2016,174
10/18/2016,200
10/18/2016,211
10/18/2016,213
10/18/2016,221
10/18/2016,226
10/18/2016,223
10/18/2016,218
